rank,title,brand,search_term,rating,no_of_reviews,year,month,day,hour,minute
1,"Honey Nut Cheerios Gluten Free Cereal, 26.6 oz",Cheerios,cereal,5,207,2015,12,7,20,32
2,"Kellogg's Frosted Flakes Cereal, 33 oz",Kellogg's,cereal,4.5,117,2015,12,7,20,32
3,"Cinnamon Toast Crunch Cereal, 23.6 oz",Other,cereal,4.5,34,2015,12,7,20,32
4,"Post Honey Bunches of Oats With Crispy Almonds Cereal, 27 oz",Post,cereal,5,47,2015,12,7,20,32
5,"Great Value Raisin Bran Cereal, 20 Oz",Other,cereal,4.5,74,2015,12,7,20,32
6,"Reese's Puffs Cereal, 28.2 oz",Other,cereal,4.5,19,2015,12,7,20,32
7,"Kellogg's Original Frosted Mini Wheats Cereal, 36 oz",Kellogg's,cereal,5,47,2015,12,7,20,32
8,"Kellogg's Rice Krispies Cereal, 24 oz",Kellogg's,cereal,5,60,2015,12,7,20,32
9,"Great Value Crunchy Honey Oats Cereal With Almonds, 18 oz",Other,cereal,4.5,59,2015,12,7,20,32
10,"Kix Cereal, 12 oz",Other,cereal,4.5,12,2015,12,7,20,32
11,"Lucky Charms Cereal, 25.1 oz",Other,cereal,5,110,2015,12,7,20,32
12,"Kellogg's Apple Jacks Cereal, 21.7 oz",Kellogg's,cereal,4.5,53,2015,12,7,20,32
13,"Kellogg's Froot Loops Cereal, 26 oz",Kellogg's,cereal,5,63,2015,12,7,20,32
14,"Kellogg's Raisin Bran Crunch Cereal, 24.8 oz",Kellogg's,cereal,4.5,31,2015,12,7,20,32
15,"Honey Nut Cheerios Gluten Free Cereal, 12.25 oz",Cheerios,cereal,5,207,2015,12,7,20,32
16,"French Toast Crunch Cereal, 19 oz",Other,cereal,5,0,2015,12,7,20,32
17,"Cheerios Family Size Gluten Free Cereal, 21 oz",Cheerios,cereal,4.5,45,2015,12,7,20,32
18,"Kellogg's Cracklin Oat Bran Cereal, 17 Oz",Kellogg's,cereal,4.5,19,2015,12,7,20,32
19,"General Mills Raisin Nut Bran Cereal, 17.1 oz",Other,cereal,5,24,2015,12,7,20,32
20,"Cascadian Farm Organic Fruit And Nut Granola Cereal, 13.5 Oz",Other,cereal,4.5,71,2015,12,7,20,32
21,"Great Value Strawberry Awake Cereal, 16.7 oz",Other,cereal,4.5,112,2015,12,7,20,32
22,"Great Value Cinnamon Crunch Cereal, 17 Oz",Other,cereal,3.5,34,2015,12,7,20,32
23,"Kellogg's Corn Flakes Cereal, 24 oz",Kellogg's,cereal,4.5,46,2015,12,7,20,32
24,"Post Selects Great Grains Raisins Dates & Pecans Cereal, 16 oz",Post,cereal,5,47,2015,12,7,20,32
25,"Kellogg's Raisin Bran Cereal, 23.5 oz",Kellogg's,cereal,4.5,44,2015,12,7,20,32
26,"Multi Grain Cheerios Gluten Free Cereal, 18 oz",Cheerios,cereal,5,16,2015,12,7,20,32
27,"Apple Cinnamon Cheerios Family Size Gluten Free Cereal, 22.7 oz",Cheerios,cereal,5,5,2015,12,7,20,32
28,"Malt-O-Meal Frosted Flakes Cereal, 40.5 oz",Other,cereal,4.5,55,2015,12,7,20,32
29,"Hershey's Cookies 'n' Creme Cereal, 21.1 oz",Other,cereal,4,12,2015,12,7,20,32
30,"Great Value Extra Raisin Bran Cereal, 20 Oz",Other,cereal,4.5,29,2015,12,7,20,32
31,"Post Honey-Comb Cereal, 16 oz",Post,cereal,5,12,2015,12,7,20,32
32,"Trix Wildberry Red Swirls Cereal, 22.7 oz",Other,cereal,4.5,18,2015,12,7,20,32
33,"Malt-O-Meal Cocoa Dyno-Bites Cereal, 40 oz",Other,cereal,5,24,2015,12,7,20,32
34,"Great Value Crunchy Honey Oats Cereal, 18 oz",Other,cereal,4.5,28,2015,12,7,20,32
35,"Kellogg's Froot Loops Cereal, 21.7 oz",Kellogg's,cereal,5,63,2015,12,7,20,32
36,"Malt-O-Meal Marshmallow Mateys Cereal, 38 Oz",Other,cereal,4.5,24,2015,12,7,20,32
37,"Quaker 100% Natural Granola with Raisins Cereal, 28 Oz",Other,cereal,4,61,2015,12,7,20,32
38,"Malt-O-Meal Crispy Rice Cereal, 36 Oz",Other,cereal,4.5,8,2015,12,7,20,32
39,"Quaker Oatmeal Squares Brown Sugar Cereal, 21 oz",Other,cereal,4.5,113,2015,12,7,20,32
40,"Kellogg's Special K Chocolatey Delight Cereal, 16.5 oz",Kellogg's,cereal,5,47,2015,12,7,20,32
41,"Kellogg's Krave Chocolate Cereal, 19.9 oz",Kellogg's,cereal,5,21,2015,12,7,20,32
42,"Kellogg's Original Special K Cereal, 18 oz",Kellogg's,cereal,5,123,2015,12,7,20,32
43,"Cheerios Gluten Free Cereal, 18 oz",Cheerios,cereal,5,186,2015,12,7,20,32
44,"Quaker Cap'n Crunch Original Cereal, 14 oz",Other,cereal,4.5,14,2015,12,7,20,32
45,"Corn Chex Cereal, 18 oz",Other,cereal,4.5,10,2015,12,7,20,32
46,"Kashi Berry Fruitful Biscuits Cereal, 15.6 oz",Kashi,cereal,4.5,13,2015,12,7,20,32
47,"Post Fruity Pebbles Cereal, 20.5 oz",Post,cereal,4.5,22,2015,12,7,20,32
48,"Kellogg's Crunchy Nut Golden Honey Nut Flakes Cereal, 13.2 oz",Kellogg's,cereal,5,32,2015,12,7,20,32
49,"Kellogg's Special K Oats & Honey Cereal, 16.5 oz",Kellogg's,cereal,4.5,28,2015,12,7,20,32
50,"Great Value Sugar Frosted Flakes Cereal, 23 Oz",Other,cereal,4.5,14,2015,12,7,20,32
51,"Great Value Frosted Shredded Wheat Cereal, 24 Oz",Other,cereal,4.5,33,2015,12,7,20,32
52,"Cocoa Puffs Frosted Corn Cereal, 20.9 oz",Other,cereal,4.5,15,2015,12,7,20,32
53,"Life Cinnamon Cereal, 18 oz",Other,cereal,4.5,14,2015,12,7,20,32
54,"Kellogg's Frosted Mini-Wheats Bite Size Cereal, 24 Oz",Kellogg's,cereal,5,68,2015,12,7,20,32
55,"Great Value Crisp Rice Cereal, 18 Oz",Other,cereal,4.5,14,2015,12,7,20,32
56,"Post Shredded Wheat Original Cereal, 15 oz",Post,cereal,5,21,2015,12,7,20,32
57,"Cream Of Wheat Enriched Farina Hot Cereal, 28 Oz",Other,cereal,5,27,2015,12,7,20,32
58,"Great Value Crunchy Nugget Cereal, 24 oz",Other,cereal,4.5,34,2015,12,7,20,32
59,"Great Value Toasted Corn Cereal, 14 oz",Other,cereal,5,6,2015,12,7,20,32
60,"Kashi Heart To Heart Oak Flakes & Wild Blueberry Clusters Cereal, 13.4 oz",Kashi,cereal,4,8,2015,12,7,20,32
61,"Great Value Toasted Rice Cereal, 12.8 Oz",Other,cereal,5,16,2015,12,7,20,32
62,"General Mills Cookie Crisp Sweetened Cereal, 19.8 oz",Other,cereal,5,17,2015,12,7,20,32
63,"Chex Wheat Cereal, 14 oz",Other,cereal,4.5,16,2015,12,7,20,32
64,"Wheaties Cereal, 15.6 oz",Other,cereal,5,25,2015,12,7,20,32
65,"Great Value Crunchy Raisin Bran Cereal, 25.5 oz",Other,cereal,4.5,60,2015,12,7,20,32
66,"Chex Chocolate Rice Cereal, 12.8 oz",Other,cereal,5,8,2015,12,7,20,32
67,"Sunbelt Fruit & Nut w/Raisins, Dates & Almonds Granola Cereal, 16 oz",Other,cereal,5,17,2015,12,7,20,32
68,"Cheerios Protein Cinnamon Almond Cereal, 14.1 oz",Cheerios,cereal,4.5,22,2015,12,7,20,32
69,"Great Value Bran Flakes Cereal, 17.3 Oz",Other,cereal,4.5,19,2015,12,7,20,32
70,"Kellogg's Raisin Bran Crunch Cereal, 18.2 Oz",Kellogg's,cereal,5,16,2015,12,7,20,32
71,"Quaker Real Medleys Peach Apple Walnut Multigrain Cereal, 15.5 oz",Other,cereal,4,134,2015,12,7,20,32
72,"Kellogg's Special K Vanilla Almond Cereal, 16.3 oz",Kellogg's,cereal,5,27,2015,12,7,20,32
73,"Great Value Toasted Whole Grain Oat Cereal, 14 oz",Other,cereal,4.5,15,2015,12,7,20,32
74,"Post Shredded Wheat Wheat 'N Bran Spoon Size Cereal, 18 oz",Post,cereal,5,36,2015,12,7,20,32
75,"Cream Of Wheat Whole Grain Hot Cereal, 18oz",Other,cereal,5,15,2015,12,7,20,32
76,"Great Value Toasted Whole Grain Oat Cereal, 18 Oz",Other,cereal,4.5,42,2015,12,7,20,32
77,"Kellogg's Frosted Flakes Cereal, 26.8 oz",Kellogg's,cereal,4.5,117,2015,12,7,20,32
78,"Kellogg's Special K Cranberry Almond Hot Cereal, 1.83 oz, 2 count",Kellogg's,cereal,4.5,5,2015,12,7,20,32
79,"Cap'n Crunch's Chocolatey Crunch Cereal, 20 oz",Other,cereal,5,3,2015,12,7,20,32
80,"Fiber One Honey Clusters Cereal, 14.25 oz",Other,cereal,4.5,25,2015,12,7,20,32
81,"Total Whole Grain Cereal, 16 oz",Other,cereal,4.5,18,2015,12,7,20,32
82,"Post Selects Great Grains Crunchy Pecans Cereal, 16 oz",Post,cereal,5,14,2015,12,7,20,32
83,"Life Original Cereal, 18 oz",Other,cereal,3.5,65,2015,12,7,20,32
84,"Kashi Organic Promise Sprouted Grains Cereal, 9.5 oz",Kashi,cereal,5,1,2015,12,7,20,32
85,"Fiber One Original Cereal, 16.2 oz",Other,cereal,4.5,49,2015,12,7,20,32
86,"Nature's Path Organic Flax Plus Multibran Cereal, 13.25 oz",Other,cereal,4.5,2,2015,12,7,20,32
87,"Quaker Life Maple & Brown Sugar Multigrain Cereal, 21.6 oz",Other,cereal,4.5,0,2015,12,7,20,32
